"Plot Title: CT_347"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739347, SEN S/N: 20739347)","Temp, °C (LGR S/N: 20739347, SEN S/N: 20739347)"
1,03/26/21 03:07:10 PM,0.0,23.62
2,03/26/21 03:07:20 PM,0.0,23.64
3,03/26/21 03:07:30 PM,0.0,23.65
4,03/26/21 03:07:40 PM,0.0,23.66
5,03/26/21 03:07:50 PM,0.0,23.67
6,03/26/21 03:08:00 PM,0.0,23.68
7,03/26/21 03:08:10 PM,0.0,23.70
8,03/26/21 03:08:20 PM,0.0,23.70
9,03/26/21 03:08:30 PM,0.0,23.71
10,03/26/21 03:08:40 PM,0.0,23.72
11,03/26/21 03:08:50 PM,0.0,23.72
12,03/26/21 03:09:00 PM,0.0,23.72
13,03/26/21 03:09:10 PM,0.0,23.73
14,03/26/21 03:09:20 PM,0.0,23.73
15,03/26/21 03:09:30 PM,0.0,23.73
16,03/26/21 03:09:40 PM,0.0,23.73
17,03/26/21 03:09:50 PM,0.0,23.73
18,03/26/21 03:10:00 PM,0.0,23.73
19,03/26/21 03:10:10 PM,0.0,23.75
20,03/26/21 03:10:20 PM,0.0,23.75
21,03/26/21 03:10:30 PM,0.0,23.75
22,03/26/21 03:10:40 PM,0.0,23.75
23,03/26/21 03:10:50 PM,0.0,23.73
24,03/26/21 03:11:00 PM,0.0,23.73
25,03/26/21 03:11:10 PM,0.0,23.72
26,03/26/21 03:11:20 PM,0.0,23.72
27,03/26/21 03:11:30 PM,0.0,23.71
28,03/26/21 03:11:40 PM,0.0,23.71
29,03/26/21 03:11:50 PM,0.0,23.71
30,03/26/21 03:12:00 PM,0.0,23.70
31,03/26/21 03:12:10 PM,0.0,23.71
32,03/26/21 03:12:20 PM,0.0,23.70
33,03/26/21 03:12:30 PM,0.0,23.68
34,03/26/21 03:12:40 PM,0.0,23.68
35,03/26/21 03:12:50 PM,0.0,23.68
36,03/26/21 03:13:00 PM,0.0,23.68
37,03/26/21 03:13:10 PM,49310.8,24.75
38,03/26/21 03:13:20 PM,49171.9,24.71
39,03/26/21 03:13:30 PM,49127.4,24.75
40,03/26/21 03:13:40 PM,49087.9,24.66
41,03/26/21 03:13:50 PM,49048.4,24.60
42,03/26/21 03:14:00 PM,48949.9,24.59
43,03/26/21 03:14:10 PM,48969.6,24.64
44,03/26/21 03:14:20 PM,48925.3,24.68
45,03/26/21 03:14:30 PM,48792.9,24.66
46,03/26/21 03:14:40 PM,48851.7,24.62
47,03/26/21 03:14:50 PM,48739.2,24.61
48,03/26/21 03:15:00 PM,48719.6,24.60
49,03/26/21 03:15:10 PM,48763.6,24.62
50,03/26/21 03:15:20 PM,48758.7,24.67
51,03/26/21 03:15:30 PM,48783.2,24.66
52,03/26/21 03:15:40 PM,48661.1,24.64
53,03/26/21 03:15:50 PM,48651.3,24.62
54,03/26/21 03:16:00 PM,48602.6,24.61
55,03/26/21 03:16:10 PM,48631.8,24.61
56,03/26/21 03:16:20 PM,48597.8,24.60
57,03/26/21 03:16:30 PM,48563.7,24.61
58,03/26/21 03:16:40 PM,48568.6,24.60
59,03/26/21 03:16:50 PM,48554.0,24.60
60,03/26/21 03:17:00 PM,48520.0,24.60
61,03/26/21 03:17:10 PM,48486.0,24.60
62,03/26/21 03:17:20 PM,48476.4,24.60
63,03/26/21 03:17:30 PM,48427.9,24.61
64,03/26/21 03:17:40 PM,48457.0,24.60
65,03/26/21 03:17:50 PM,48481.2,24.60
66,03/26/21 03:18:00 PM,48471.5,24.61
67,03/26/21 03:18:10 PM,48476.4,24.61
68,03/26/21 03:18:20 PM,48442.4,24.61
69,03/26/21 03:18:30 PM,48427.9,24.60
70,03/26/21 03:18:40 PM,48369.9,24.60
71,03/26/21 03:18:50 PM,48345.7,24.60
72,03/26/21 03:19:00 PM,48408.6,24.59
73,03/26/21 03:19:10 PM,48408.6,24.59
74,03/26/21 03:19:20 PM,48350.6,24.59
75,03/26/21 03:19:30 PM,48331.2,24.58
76,03/26/21 03:19:40 PM,48331.2,24.58
77,03/26/21 03:19:50 PM,48355.4,24.58
78,03/26/21 03:20:00 PM,48345.7,24.58
79,03/26/21 03:20:10 PM,48369.9,24.58
80,03/26/21 03:20:20 PM,48336.1,24.58
81,03/26/21 03:20:30 PM,48360.2,24.58
82,03/26/21 03:20:40 PM,48413.4,24.76
83,03/26/21 03:20:50 PM,48403.7,24.79
84,03/26/21 03:21:00 PM,48520.0,24.87
85,03/26/21 03:21:10 PM,48544.3,24.98
86,03/26/21 03:21:20 PM,48695.2,25.15
87,03/26/21 03:21:30 PM,48675.7,25.19
