"Plot Title: CT_335_overnight"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739335, SEN S/N: 20739335)","Temp, °C (LGR S/N: 20739335, SEN S/N: 20739335)"
1,03/26/21 05:00:00 PM,46161.3,21.66
2,03/26/21 05:00:10 PM,46174.6,21.67
3,03/26/21 05:00:20 PM,46165.7,21.67
4,03/26/21 05:00:30 PM,46134.8,21.67
5,03/26/21 05:00:40 PM,46126.0,21.66
6,03/26/21 05:00:50 PM,46148.1,21.67
7,03/26/21 05:01:00 PM,46126.0,21.66
8,03/26/21 05:01:10 PM,46170.1,21.66
9,03/26/21 05:01:20 PM,46179.0,21.66
10,03/26/21 05:01:30 PM,46152.5,21.67
11,03/26/21 05:01:40 PM,46165.7,21.67
12,03/26/21 05:01:50 PM,46130.4,21.67
13,03/26/21 05:02:00 PM,46165.7,21.67
14,03/26/21 05:02:10 PM,46103.9,21.67
15,03/26/21 05:02:20 PM,46126.0,21.67
16,03/26/21 05:02:30 PM,46139.2,21.66
17,03/26/21 05:02:40 PM,46099.5,21.67
18,03/26/21 05:02:50 PM,46099.5,21.67
19,03/26/21 05:03:00 PM,46130.4,21.67
20,03/26/21 05:03:10 PM,46112.8,21.66
21,03/26/21 05:03:20 PM,46090.7,21.67
22,03/26/21 05:03:30 PM,46143.6,21.66
23,03/26/21 05:03:40 PM,46090.7,21.66
24,03/26/21 05:03:50 PM,46077.5,21.67
25,03/26/21 05:04:00 PM,46103.9,21.67
26,03/26/21 05:04:10 PM,46117.2,21.67
27,03/26/21 05:04:20 PM,46148.1,21.67
28,03/26/21 05:04:30 PM,46108.4,21.67
29,03/26/21 05:04:40 PM,46126.0,21.66
30,03/26/21 05:04:50 PM,46046.7,21.67
31,03/26/21 05:05:00 PM,46095.1,21.66
32,03/26/21 05:05:10 PM,46090.7,21.67
33,03/26/21 05:05:20 PM,46090.7,21.66
34,03/26/21 05:05:30 PM,46112.8,21.67
35,03/26/21 05:05:40 PM,46081.9,21.66
36,03/26/21 05:05:50 PM,46073.1,21.67
37,03/26/21 05:06:00 PM,46117.2,21.67
38,03/26/21 05:06:10 PM,46073.1,21.66
39,03/26/21 05:06:20 PM,46086.3,21.67
40,03/26/21 05:06:30 PM,46073.1,21.67
41,03/26/21 05:06:40 PM,46042.3,21.67
42,03/26/21 05:06:50 PM,46077.5,21.67
43,03/26/21 05:07:00 PM,46077.5,21.67
44,03/26/21 05:07:10 PM,46117.2,21.67
45,03/26/21 05:07:20 PM,46059.9,21.67
46,03/26/21 05:07:30 PM,46090.7,21.67
47,03/26/21 05:07:40 PM,46090.7,21.67
48,03/26/21 05:07:50 PM,46073.1,21.67
49,03/26/21 05:08:00 PM,46051.1,21.67
50,03/26/21 05:08:10 PM,46033.5,21.67
51,03/26/21 05:08:20 PM,46064.3,21.67
52,03/26/21 05:08:30 PM,46015.9,21.67
53,03/26/21 05:08:40 PM,46068.7,21.67
54,03/26/21 05:08:50 PM,46024.7,21.67
55,03/26/21 05:09:00 PM,46020.3,21.67
56,03/26/21 05:09:10 PM,46068.7,21.66
57,03/26/21 05:09:20 PM,46068.7,21.66
58,03/26/21 05:09:30 PM,46037.9,21.67
59,03/26/21 05:09:40 PM,46020.3,21.67
60,03/26/21 05:09:50 PM,46081.9,21.67
61,03/26/21 05:10:00 PM,46011.5,21.67
62,03/26/21 05:10:10 PM,46042.3,21.67
63,03/26/21 05:10:20 PM,46011.5,21.67
64,03/26/21 05:10:30 PM,46042.3,21.67
65,03/26/21 05:10:40 PM,46024.7,21.67
66,03/26/21 05:10:50 PM,45985.2,21.67
67,03/26/21 05:11:00 PM,46007.1,21.67
68,03/26/21 05:11:10 PM,46037.9,21.67
69,03/26/21 05:11:20 PM,46037.9,21.66
70,03/26/21 05:11:30 PM,45998.3,21.67
71,03/26/21 05:11:40 PM,46029.1,21.66
72,03/26/21 05:11:50 PM,46042.3,21.66
73,03/26/21 05:12:00 PM,46002.7,21.67
74,03/26/21 05:12:10 PM,46020.3,21.66
75,03/26/21 05:12:20 PM,45989.6,21.67
76,03/26/21 05:12:30 PM,46011.5,21.66
77,03/26/21 05:12:40 PM,45954.5,21.67
78,03/26/21 05:12:50 PM,46020.3,21.66
79,03/26/21 05:13:00 PM,46015.9,21.67
80,03/26/21 05:13:10 PM,45985.2,21.66
81,03/26/21 05:13:20 PM,45963.2,21.67
