Date,Tidepool_ID,Sample_ID,Time,Tidepool_height,Sample_volume,Notes
2/10/20,TP1,1,6:15,-0.05,160,In the mid-zone
2/10/20,TP1,2,6:20,-0.05,175,
2/10/20,TP1,3,6:25,-0.05,176,
2/10/20,TP1,4,6:30,-0.05,155,
2/10/20,TP2,5,6:50,-0.07,187,deep pool
2/10/20,TP2,6,6:55,-0.07,189,
2/10/20,TP2,7,7:00,-0.07,167,
2/10/20,TP2,8,7:05,-0.07,198,
2/10/20,TP3,9,7:25,-0.05,175,lots of snails
2/10/20,TP3,10,7:30,-0.05,179,
2/10/20,TP3,11,7:35,-0.05,157,
2/10/20,TP3,12,7:40,-0.05,197,
2/10/20,TP4,13,8:00,-0.03,176,high algal cover
2/10/20,TP4,14,8:05,-0.03,158,
2/10/20,TP4,15,8:10,-0.03,200,
2/10/20,TP4,16,8:15,-0.03,157,
2/10/20,TP5,17,8:35,-0.01,184,shallow pool
2/10/20,TP5,18,8:40,-0.01,163,
2/10/20,TP5,19,8:45,-0.01,152,
2/10/20,TP5,20,8:50,-0.01,184,
